month,anxiety,depression,sad,therapy,wellness
2012-01-01,48,69,46,80,41
2012-02-01,55,81,46,89,44
2012-03-01,51,75,44,89,42
2012-04-01,50,73,43,89,39
2012-05-01,55,77,45,90,42
2012-06-01,46,61,45,85,41
2012-07-01,51,61,41,84,41
2012-08-01,53,56,43,87,43
2012-09-01,56,63,43,87,41
2012-10-01,58,70,47,95,41
2012-11-01,51,70,51,87,38
2012-12-01,50,66,51,77,37
2013-01-01,53,72,48,85,44
2013-02-01,53,79,50,87,43
2013-03-01,56,79,50,87,43
2013-04-01,58,80,51,90,44
2013-05-01,59,74,55,91,41
2013-06-01,55,61,55,85,40
2013-07-01,55,57,49,84,41
2013-08-01,58,54,48,87,43
2013-09-01,59,61,53,88,44
2013-10-01,59,70,54,91,43
2013-11-01,55,69,55,82,42
2013-12-01,51,68,58,79,37
2014-01-01,60,73,56,93,47
2014-02-01,62,80,58,92,44
2014-03-01,60,84,56,87,43
2014-04-01,63,79,55,91,42
2014-05-01,60,75,64,87,43
2014-06-01,59,61,56,84,43
2014-07-01,61,58,59,86,43
2014-08-01,64,83,55,83,45
2014-09-01,66,76,57,89,43
2014-10-01,65,78,58,93,44
2014-11-01,64,78,61,84,41
2014-12-01,57,73,59,77,40
2015-01-01,65,77,62,87,47
2015-02-01,66,90,64,91,44
2015-03-01,70,89,61,90,47
2015-04-01,68,85,63,92,47
2015-05-01,70,81,69,85,46
2015-06-01,64,66,61,87,46
2015-07-01,69,68,61,86,46
2015-08-01,70,65,62,90,48
2015-09-01,70,78,61,87,51
2015-10-01,74,83,67,90,47
2015-11-01,66,81,68,84,44
2015-12-01,62,80,68,83,42
2016-01-01,68,80,64,82,47
2016-02-01,77,93,68,90,47
2016-03-01,77,94,73,91,48
2016-04-01,78,93,71,93,47
2016-05-01,76,84,71,89,47
2016-06-01,75,69,67,84,47
2016-07-01,76,64,63,82,44
2016-08-01,76,64,59,90,49
2016-09-01,79,75,67,88,48
2016-10-01,82,81,76,85,47
2016-11-01,74,81,73,86,45
2016-12-01,74,82,69,81,45
2017-01-01,80,86,72,88,53
2017-02-01,78,91,70,87,100
2017-03-01,84,97,69,95,57
2017-04-01,83,89,69,93,53
2017-05-01,87,96,66,95,55
2017-06-01,81,74,63,91,61
2017-07-01,83,72,57,89,58
2017-08-01,86,79,60,93,56
2017-09-01,82,81,64,92,54
2017-10-01,83,87,68,94,52
2017-11-01,85,88,65,94,49
2017-12-01,76,83,62,83,47
2018-01-01,89,89,66,97,66
2018-02-01,86,100,69,98,58
2018-03-01,92,97,78,98,55
2018-04-01,91,95,75,100,56
2018-05-01,92,98,79,99,54
2018-06-01,89,92,85,96,58
2018-07-01,95,80,80,94,54
2018-08-01,95,74,76,99,57
2018-09-01,97,80,79,98,56
2018-10-01,100,95,81,99,55
2018-11-01,90,92,80,95,52
2018-12-01,89,90,77,91,50
