Category: All categories

Month,anxiety: (California),drought: (California)
2012-01,48,5
2012-02,55,5
2012-03,51,5
2012-04,50,5
2012-05,55,5
2012-06,46,4
2012-07,51,8
2012-08,53,9
2012-09,56,5
2012-10,58,4
2012-11,51,4
2012-12,50,4
2013-01,53,3
2013-02,53,4
2013-03,56,5
2013-04,58,6
2013-05,59,6
2013-06,55,4
2013-07,55,4
2013-08,58,5
2013-09,59,5
2013-10,59,4
2013-11,55,5
2013-12,51,6
2014-01,60,42
2014-02,62,46
2014-03,60,25
2014-04,63,18
2014-05,60,19
2014-06,59,16
2014-07,61,27
2014-08,64,48
2014-09,66,36
2014-10,65,30
2014-11,64,19
2014-12,57,35
2015-01,65,15
2015-02,66,19
2015-03,70,33
2015-04,68,72
2015-05,70,54
2015-06,64,43
2015-07,69,42
2015-08,70,34
2015-09,70,34
2015-10,74,29
2015-11,66,24
2015-12,62,21
2016-01,68,28
2016-02,77,22
2016-03,77,29
2016-04,78,23
2016-05,76,24
2016-06,75,18
2016-07,76,14
2016-08,76,14
2016-09,79,16
2016-10,82,15
2016-11,74,17
2016-12,74,17
2017-01,80,89
2017-02,78,61
2017-03,84,24
2017-04,83,19
2017-05,87,12
2017-06,81,11
2017-07,83,9
2017-08,86,9
2017-09,82,9
2017-10,83,8
2017-11,85,8
2017-12,76,8
2018-01,89,11
2018-02,86,13
2018-03,92,16
2018-04,91,13
2018-05,92,11
2018-06,89,9
2018-07,95,9
2018-08,95,9
2018-09,97,8
2018-10,100,8
2018-11,90,9
2018-12,89,7
