Category: All categories

Month,depression: (California),drought: (California)
2012-01,69,6
2012-02,81,5
2012-03,75,6
2012-04,73,5
2012-05,77,5
2012-06,61,5
2012-07,61,9
2012-08,56,9
2012-09,63,6
2012-10,70,5
2012-11,70,4
2012-12,66,4
2013-01,72,4
2013-02,79,4
2013-03,79,5
2013-04,80,6
2013-05,74,6
2013-06,61,5
2013-07,57,4
2013-08,54,5
2013-09,61,6
2013-10,70,5
2013-11,69,5
2013-12,68,6
2014-01,73,45
2014-02,80,48
2014-03,84,26
2014-04,79,20
2014-05,75,20
2014-06,61,17
2014-07,58,29
2014-08,83,50
2014-09,76,38
2014-10,78,30
2014-11,78,21
2014-12,73,38
2015-01,77,17
2015-02,90,21
2015-03,89,36
2015-04,85,76
2015-05,81,58
2015-06,66,45
2015-07,68,45
2015-08,65,36
2015-09,78,36
2015-10,83,32
2015-11,81,25
2015-12,80,23
2016-01,80,30
2016-02,93,23
2016-03,94,31
2016-04,93,26
2016-05,84,26
2016-06,69,18
2016-07,64,16
2016-08,64,15
2016-09,75,17
2016-10,81,18
2016-11,81,18
2016-12,82,17
2017-01,86,95
2017-02,91,65
2017-03,97,25
2017-04,89,20
2017-05,96,13
2017-06,74,11
2017-07,72,10
2017-08,79,9
2017-09,81,9
2017-10,87,8
2017-11,88,9
2017-12,83,8
2018-01,89,11
2018-02,100,14
2018-03,97,17
2018-04,95,14
2018-05,98,12
2018-06,92,9
2018-07,80,9
2018-08,74,9
2018-09,80,9
2018-10,95,9
2018-11,92,9
2018-12,90,7
