Category: All categories

Month,sad: (California),drought: (California)
2012-01,46,6
2012-02,46,5
2012-03,44,6
2012-04,43,6
2012-05,45,5
2012-06,45,5
2012-07,41,10
2012-08,43,10
2012-09,43,6
2012-10,47,5
2012-11,51,5
2012-12,51,4
2013-01,48,4
2013-02,50,4
2013-03,50,6
2013-04,51,6
2013-05,55,6
2013-06,55,5
2013-07,49,5
2013-08,48,5
2013-09,53,6
2013-10,54,5
2013-11,55,5
2013-12,58,7
2014-01,56,47
2014-02,58,50
2014-03,56,28
2014-04,55,21
2014-05,64,21
2014-06,56,18
2014-07,59,31
2014-08,55,53
2014-09,57,40
2014-10,58,32
2014-11,61,22
2014-12,59,40
2015-01,62,17
2015-02,64,22
2015-03,61,38
2015-04,63,80
2015-05,69,60
2015-06,61,47
2015-07,61,47
2015-08,62,38
2015-09,61,38
2015-10,67,34
2015-11,68,27
2015-12,68,24
2016-01,64,31
2016-02,68,24
2016-03,73,32
2016-04,71,27
2016-05,71,27
2016-06,67,19
2016-07,63,17
2016-08,59,15
2016-09,67,18
2016-10,76,18
2016-11,73,19
2016-12,69,18
2017-01,72,100
2017-02,70,68
2017-03,69,26
2017-04,69,21
2017-05,66,14
2017-06,63,12
2017-07,57,10
2017-08,60,10
2017-09,64,10
2017-10,68,9
2017-11,65,9
2017-12,62,8
2018-01,66,12
2018-02,69,15
2018-03,78,17
2018-04,75,15
2018-05,79,12
2018-06,85,9
2018-07,80,10
2018-08,76,10
2018-09,79,9
2018-10,81,10
2018-11,80,9
2018-12,77,8
