Category: All categories

Month,therapy: (California),drought: (California)
2012-01,80,3
2012-02,89,3
2012-03,89,3
2012-04,89,3
2012-05,90,3
2012-06,85,3
2012-07,84,5
2012-08,87,5
2012-09,87,3
2012-10,95,3
2012-11,87,3
2012-12,77,2
2013-01,85,2
2013-02,87,2
2013-03,87,3
2013-04,90,3
2013-05,91,3
2013-06,85,3
2013-07,84,3
2013-08,87,3
2013-09,88,3
2013-10,91,3
2013-11,82,3
2013-12,79,4
2014-01,93,26
2014-02,92,27
2014-03,87,15
2014-04,91,11
2014-05,87,11
2014-06,84,10
2014-07,86,17
2014-08,83,29
2014-09,89,22
2014-10,93,17
2014-11,84,12
2014-12,77,22
2015-01,87,9
2015-02,91,12
2015-03,90,21
2015-04,92,43
2015-05,85,33
2015-06,87,26
2015-07,86,25
2015-08,90,21
2015-09,87,21
2015-10,90,18
2015-11,84,15
2015-12,83,13
2016-01,82,17
2016-02,90,13
2016-03,91,18
2016-04,93,15
2016-05,89,15
2016-06,84,11
2016-07,82,9
2016-08,90,8
2016-09,88,10
2016-10,85,10
2016-11,86,10
2016-12,81,10
2017-01,88,55
2017-02,87,37
2017-03,95,14
2017-04,93,12
2017-05,95,7
2017-06,91,6
2017-07,89,5
2017-08,93,5
2017-09,92,5
2017-10,94,5
2017-11,94,5
2017-12,83,5
2018-01,97,6
2018-02,98,8
2018-03,98,9
2018-04,100,8
2018-05,99,7
2018-06,96,5
2018-07,94,5
2018-08,99,5
2018-09,98,5
2018-10,99,5
2018-11,95,5
2018-12,91,4
