Category: All categories

Month,wellness: (California),drought: (California)
2012-01,41,6
2012-02,44,5
2012-03,42,6
2012-04,39,6
2012-05,42,5
2012-06,41,5
2012-07,41,10
2012-08,43,10
2012-09,41,6
2012-10,41,5
2012-11,38,5
2012-12,37,4
2013-01,44,4
2013-02,43,4
2013-03,43,5
2013-04,44,6
2013-05,41,6
2013-06,40,5
2013-07,41,5
2013-08,43,5
2013-09,44,6
2013-10,43,5
2013-11,42,5
2013-12,37,7
2014-01,47,47
2014-02,44,50
2014-03,43,27
2014-04,42,21
2014-05,43,21
2014-06,43,18
2014-07,43,31
2014-08,45,52
2014-09,43,40
2014-10,44,31
2014-11,41,22
2014-12,40,40
2015-01,47,17
2015-02,44,22
2015-03,47,37
2015-04,47,79
2015-05,46,60
2015-06,46,47
2015-07,46,46
2015-08,48,38
2015-09,51,38
2015-10,47,34
2015-11,44,26
2015-12,42,24
2016-01,47,31
2016-02,47,24
2016-03,48,32
2016-04,47,27
2016-05,47,27
2016-06,47,19
2016-07,44,17
2016-08,49,15
2016-09,48,18
2016-10,47,18
2016-11,45,19
2016-12,45,18
2017-01,53,99
2017-02,100,67
2017-03,57,26
2017-04,53,21
2017-05,55,13
2017-06,61,12
2017-07,58,10
2017-08,56,10
2017-09,54,10
2017-10,52,9
2017-11,49,9
2017-12,47,8
2018-01,66,12
2018-02,58,14
2018-03,55,17
2018-04,56,14
2018-05,54,12
2018-06,58,9
2018-07,54,10
2018-08,57,10
2018-09,56,9
2018-10,55,10
2018-11,52,9
2018-12,50,8
